Frame,Visibility,X,Y,Time
273,0,0,0,00:00:09.1
274,0,0,0,00:00:09.133333333333333
275,0,0,0,00:00:09.166666666666666
276,1,616,231,00:00:09.2
277,0,0,0,00:00:09.233333333333333
278,0,0,0,00:00:09.266666666666666
279,0,0,0,00:00:09.3
280,1,583,207,00:00:09.333333333333334
281,1,573,193,00:00:09.366666666666667
282,1,566,182,00:00:09.4
283,1,558,173,00:00:09.433333333333334
284,1,553,170,00:00:09.466666666666667
285,1,553,168,00:00:09.5
286,1,547,165,00:00:09.533333333333333
287,1,542,161,00:00:09.566666666666666
288,1,538,161,00:00:09.6
289,1,533,160,00:00:09.633333333333333
290,1,531,161,00:00:09.666666666666666
291,1,531,161,00:00:09.7
292,1,526,163,00:00:09.733333333333333
293,1,522,168,00:00:09.766666666666666
294,1,520,175,00:00:09.8
295,1,516,181,00:00:09.833333333333334
296,1,513,188,00:00:09.866666666666667
297,1,512,188,00:00:09.9
298,1,510,198,00:00:09.933333333333334
299,1,506,210,00:00:09.966666666666667
300,1,503,222,00:00:10.0
301,1,501,236,00:00:10.033333333333333
302,1,498,251,00:00:10.066666666666666
303,1,498,251,00:00:10.1
304,1,496,263,00:00:10.133333333333333
305,1,493,281,00:00:10.166666666666666
306,1,491,298,00:00:10.2
307,1,488,316,00:00:10.233333333333333
308,1,486,336,00:00:10.266666666666666
309,1,486,333,00:00:10.3
310,1,483,342,00:00:10.333333333333334
311,1,486,293,00:00:10.366666666666667
312,1,485,268,00:00:10.4
313,1,486,251,00:00:10.433333333333334
314,1,486,241,00:00:10.466666666666667
315,1,486,241,00:00:10.5
316,1,488,232,00:00:10.533333333333333
317,1,488,226,00:00:10.566666666666666
318,1,491,222,00:00:10.6
319,1,491,221,00:00:10.633333333333333
320,1,491,220,00:00:10.666666666666666
321,1,491,218,00:00:10.7
322,1,493,218,00:00:10.733333333333333
323,1,496,220,00:00:10.766666666666666
324,1,496,222,00:00:10.8
325,1,498,225,00:00:10.833333333333334
326,1,498,228,00:00:10.866666666666667
327,0,0,0,00:00:10.9
328,0,0,0,00:00:10.933333333333334
329,0,0,0,00:00:10.966666666666667
330,1,496,236,00:00:11.0
331,1,491,240,00:00:11.033333333333333
332,1,486,246,00:00:11.066666666666666
333,1,486,246,00:00:11.1
334,1,483,248,00:00:11.133333333333333
335,1,481,255,00:00:11.166666666666666
336,1,478,261,00:00:11.2
337,1,476,266,00:00:11.233333333333333
338,1,473,276,00:00:11.266666666666666
339,1,472,275,00:00:11.3
340,1,471,283,00:00:11.333333333333334
341,1,468,296,00:00:11.366666666666667
342,1,466,306,00:00:11.4
343,1,466,316,00:00:11.433333333333334
344,1,463,328,00:00:11.466666666666667
345,1,463,328,00:00:11.5
346,1,461,341,00:00:11.533333333333333
347,1,461,356,00:00:11.566666666666666
348,1,458,371,00:00:11.6
349,1,458,386,00:00:11.633333333333333
350,1,476,383,00:00:11.666666666666666
351,1,476,385,00:00:11.7
352,1,505,360,00:00:11.733333333333333
353,1,527,336,00:00:11.766666666666666
354,0,0,0,00:00:11.8
355,0,0,0,00:00:11.833333333333334
356,0,0,0,00:00:11.866666666666667
357,0,0,0,00:00:11.9
358,0,0,0,00:00:11.933333333333334
359,0,0,0,00:00:11.966666666666667
360,0,0,0,00:00:12.0
361,0,0,0,00:00:12.033333333333333
362,0,0,0,00:00:12.066666666666666
363,0,0,0,00:00:12.1
364,0,0,0,00:00:12.133333333333333
365,0,0,0,00:00:12.166666666666666
366,1,707,277,00:00:12.2
367,1,716,281,00:00:12.233333333333333
368,1,726,285,00:00:12.266666666666666
369,1,726,286,00:00:12.3
370,1,736,288,00:00:12.333333333333334
371,1,742,293,00:00:12.366666666666667
372,1,751,301,00:00:12.4
373,1,761,310,00:00:12.433333333333334
374,1,766,316,00:00:12.466666666666667
375,1,766,316,00:00:12.5
376,1,775,326,00:00:12.533333333333333
377,1,770,307,00:00:12.566666666666666
378,1,747,268,00:00:12.6
379,1,731,233,00:00:12.633333333333333
380,1,718,207,00:00:12.666666666666666
381,1,718,206,00:00:12.7
382,1,706,183,00:00:12.733333333333333
383,1,696,163,00:00:12.766666666666666
384,1,686,146,00:00:12.8
385,1,676,131,00:00:12.833333333333334
386,1,668,118,00:00:12.866666666666667
387,1,668,118,00:00:12.9
388,1,661,108,00:00:12.933333333333334
389,1,653,100,00:00:12.966666666666667
390,1,646,93,00:00:13.0
391,1,640,87,00:00:13.033333333333333
392,1,633,83,00:00:13.066666666666666
393,1,633,83,00:00:13.1
394,1,627,82,00:00:13.133333333333333
395,1,621,81,00:00:13.166666666666666
396,1,616,83,00:00:13.2
397,1,610,86,00:00:13.233333333333333
398,1,603,91,00:00:13.266666666666666
399,1,603,91,00:00:13.299999999999999
400,1,598,96,00:00:13.333333333333334
401,1,592,106,00:00:13.366666666666667
402,1,586,113,00:00:13.4
403,1,581,125,00:00:13.433333333333334
404,1,576,136,00:00:13.466666666666667
405,1,576,136,00:00:13.5
406,1,570,150,00:00:13.533333333333333
407,1,565,163,00:00:13.566666666666666
408,1,561,178,00:00:13.6
409,1,556,196,00:00:13.633333333333333
410,1,551,216,00:00:13.666666666666666
411,1,551,215,00:00:13.7
412,1,546,233,00:00:13.733333333333333
413,1,541,253,00:00:13.766666666666666
414,1,536,271,00:00:13.799999999999999
415,1,533,291,00:00:13.833333333333334
416,1,530,315,00:00:13.866666666666667
417,1,530,313,00:00:13.9
418,1,526,336,00:00:13.933333333333334
419,1,523,356,00:00:13.966666666666667
420,1,516,313,00:00:14.0
421,1,511,291,00:00:14.033333333333333
422,1,508,277,00:00:14.066666666666666
423,1,508,277,00:00:14.1
424,1,508,270,00:00:14.133333333333333
425,1,506,261,00:00:14.166666666666666
426,1,506,257,00:00:14.2
427,1,506,256,00:00:14.233333333333333
428,1,505,252,00:00:14.266666666666666
429,1,503,253,00:00:14.299999999999999
430,1,506,253,00:00:14.333333333333334
431,1,506,255,00:00:14.366666666666667
432,1,506,256,00:00:14.4
433,1,507,258,00:00:14.433333333333334
434,1,507,263,00:00:14.466666666666667
435,1,507,265,00:00:14.5
436,1,510,266,00:00:14.533333333333333
437,1,512,267,00:00:14.566666666666666
438,1,530,260,00:00:14.6
439,1,537,255,00:00:14.633333333333333
440,1,547,253,00:00:14.666666666666666
441,1,548,251,00:00:14.7
442,1,558,251,00:00:14.733333333333333
443,1,567,250,00:00:14.766666666666666
444,0,0,0,00:00:14.799999999999999
445,0,0,0,00:00:14.833333333333334
446,0,0,0,00:00:14.866666666666667
447,0,0,0,00:00:14.9
448,0,0,0,00:00:14.933333333333334
449,0,0,0,00:00:14.966666666666667
450,0,0,0,00:00:15.0
451,1,621,277,00:00:15.033333333333333
452,0,0,0,00:00:15.066666666666666
453,1,628,283,00:00:15.1
454,1,636,293,00:00:15.133333333333333
455,1,641,302,00:00:15.166666666666666
456,1,646,316,00:00:15.2
457,1,652,326,00:00:15.233333333333333
458,1,658,341,00:00:15.266666666666666
459,1,657,340,00:00:15.299999999999999
460,1,663,353,00:00:15.333333333333334
461,1,667,368,00:00:15.366666666666667
462,1,671,381,00:00:15.4
463,0,0,0,00:00:15.433333333333334
464,1,627,345,00:00:15.466666666666667
465,0,0,0,00:00:15.5
466,0,0,0,00:00:15.533333333333333
467,0,0,0,00:00:15.566666666666666
468,0,0,0,00:00:15.6
469,1,573,296,00:00:15.633333333333333
470,1,562,291,00:00:15.666666666666666
471,1,563,291,00:00:15.7
472,1,553,286,00:00:15.733333333333333
473,1,546,283,00:00:15.766666666666666
474,1,538,281,00:00:15.799999999999999
475,1,531,281,00:00:15.833333333333334
476,1,523,282,00:00:15.866666666666667
477,1,523,282,00:00:15.9
478,1,518,285,00:00:15.933333333333334
479,1,512,287,00:00:15.966666666666667
480,1,507,291,00:00:16.0
481,1,503,296,00:00:16.03333333333333
482,1,497,301,00:00:16.066666666666666
483,1,498,301,00:00:16.1
484,1,493,308,00:00:16.133333333333333
485,1,491,315,00:00:16.166666666666668
486,1,481,305,00:00:16.2
487,1,481,283,00:00:16.233333333333334
488,1,475,272,00:00:16.266666666666666
489,1,476,271,00:00:16.3
490,1,473,261,00:00:16.333333333333332
491,1,470,251,00:00:16.366666666666667
492,1,466,243,00:00:16.4
493,1,463,238,00:00:16.433333333333334
494,1,461,233,00:00:16.466666666666665
495,1,461,235,00:00:16.5
496,1,461,231,00:00:16.53333333333333
497,1,458,231,00:00:16.566666666666666
498,1,456,231,00:00:16.6
499,1,456,231,00:00:16.633333333333333
500,1,453,236,00:00:16.666666666666668
501,1,453,236,00:00:16.7
502,1,451,238,00:00:16.733333333333334
503,1,451,246,00:00:16.766666666666666
504,1,448,251,00:00:16.8
505,1,448,258,00:00:16.833333333333332
506,1,446,267,00:00:16.866666666666667
507,1,446,267,00:00:16.9
508,1,446,278,00:00:16.933333333333334
509,1,445,291,00:00:16.966666666666665
510,1,443,303,00:00:17.0
511,1,443,318,00:00:17.03333333333333
512,1,441,333,00:00:17.066666666666666
513,1,441,333,00:00:17.1
514,1,441,348,00:00:17.133333333333333
515,1,440,366,00:00:17.166666666666668
516,1,440,383,00:00:17.2
517,1,441,402,00:00:17.233333333333334
518,1,472,383,00:00:17.266666666666666
519,1,473,383,00:00:17.3
520,1,511,351,00:00:17.333333333333332
521,1,537,323,00:00:17.366666666666667
522,0,0,0,00:00:17.4
523,0,0,0,00:00:17.433333333333334
524,0,0,0,00:00:17.466666666666665
525,0,0,0,00:00:17.5
526,0,0,0,00:00:17.53333333333333
527,0,0,0,00:00:17.566666666666666
528,1,655,257,00:00:17.6
529,0,0,0,00:00:17.633333333333333
530,0,0,0,00:00:17.666666666666668
531,0,0,0,00:00:17.7
532,0,0,0,00:00:17.733333333333334
533,0,0,0,00:00:17.766666666666666
534,1,676,263,00:00:17.8
535,1,683,266,00:00:17.833333333333332
536,1,692,268,00:00:17.866666666666667
537,1,690,266,00:00:17.9
538,1,696,272,00:00:17.933333333333334
539,1,701,280,00:00:17.966666666666665
540,1,711,248,00:00:18.0
541,1,712,290,00:00:18.03333333333333
542,1,710,242,00:00:18.066666666666666
543,1,707,243,00:00:18.1
544,1,705,241,00:00:18.133333333333333
545,0,0,0,00:00:18.166666666666668
546,1,665,203,00:00:18.2
547,1,655,188,00:00:18.233333333333334
548,1,646,175,00:00:18.266666666666666
549,1,646,173,00:00:18.3
550,1,638,163,00:00:18.333333333333332
551,1,631,155,00:00:18.366666666666667
552,1,625,148,00:00:18.4
553,1,618,142,00:00:18.433333333333334
554,1,615,138,00:00:18.466666666666665
555,1,613,138,00:00:18.5
556,1,608,136,00:00:18.53333333333333
557,1,603,136,00:00:18.566666666666666
558,1,598,136,00:00:18.6
559,1,593,138,00:00:18.633333333333333
560,1,587,142,00:00:18.666666666666668
561,1,587,143,00:00:18.7
562,1,583,148,00:00:18.733333333333334
563,1,578,153,00:00:18.766666666666666
564,1,573,161,00:00:18.8
565,1,568,171,00:00:18.833333333333332
566,1,566,181,00:00:18.866666666666667
567,1,566,181,00:00:18.9
568,1,561,193,00:00:18.933333333333334
569,1,556,206,00:00:18.966666666666665
570,1,551,221,00:00:19.0
571,1,548,237,00:00:19.03333333333333
572,1,545,253,00:00:19.066666666666666
573,1,545,253,00:00:19.1
574,1,541,268,00:00:19.133333333333333
575,1,538,287,00:00:19.166666666666668
576,1,533,307,00:00:19.2
577,1,532,326,00:00:19.233333333333334
578,1,528,346,00:00:19.266666666666666
579,1,528,346,00:00:19.3
580,1,506,231,00:00:19.333333333333332
581,1,495,170,00:00:19.366666666666667
582,1,486,126,00:00:19.4
583,1,481,96,00:00:19.433333333333334
584,1,476,71,00:00:19.466666666666665
585,1,477,70,00:00:19.5
586,1,473,51,00:00:19.53333333333333
587,1,471,36,00:00:19.566666666666666
588,1,470,23,00:00:19.6
589,1,470,16,00:00:19.633333333333333
590,1,468,8,00:00:19.666666666666668
591,1,468,7,00:00:19.7
592,1,466,5,00:00:19.733333333333334
593,1,467,3,00:00:19.766666666666666
594,0,0,0,00:00:19.8
595,0,0,0,00:00:19.833333333333332
596,0,0,0,00:00:19.866666666666667
597,0,0,0,00:00:19.9
598,0,0,0,00:00:19.933333333333334
599,1,470,5,00:00:19.966666666666665
600,1,471,6,00:00:20.0
601,1,471,11,00:00:20.03333333333333
602,1,471,16,00:00:20.066666666666666
603,1,472,16,00:00:20.1
604,1,473,21,00:00:20.133333333333333
605,1,473,28,00:00:20.166666666666668
606,1,476,36,00:00:20.2
607,1,476,43,00:00:20.233333333333334
608,1,478,53,00:00:20.266666666666666
609,1,478,53,00:00:20.3
610,1,481,62,00:00:20.333333333333332
611,1,481,72,00:00:20.366666666666667
612,1,483,83,00:00:20.4
613,1,486,95,00:00:20.433333333333334
614,1,486,106,00:00:20.466666666666665
615,1,486,106,00:00:20.5
616,1,487,117,00:00:20.53333333333333
617,1,490,128,00:00:20.566666666666666
618,1,485,151,00:00:20.6
619,1,480,166,00:00:20.633333333333333
620,1,471,186,00:00:20.666666666666668
621,1,473,183,00:00:20.7
622,1,467,200,00:00:20.733333333333334
623,1,463,216,00:00:20.766666666666666
624,1,458,230,00:00:20.8
625,1,456,245,00:00:20.833333333333332
626,1,451,257,00:00:20.866666666666667
627,1,451,256,00:00:20.9
628,1,448,272,00:00:20.933333333333334
629,1,446,286,00:00:20.966666666666665
630,1,443,301,00:00:21.0
631,1,443,316,00:00:21.03333333333333
632,1,441,332,00:00:21.066666666666666
633,1,441,331,00:00:21.1
634,1,438,348,00:00:21.133333333333333
635,1,437,366,00:00:21.166666666666668
636,1,436,381,00:00:21.2
637,1,435,400,00:00:21.233333333333334
638,1,433,418,00:00:21.266666666666666
639,1,433,418,00:00:21.3
640,1,460,406,00:00:21.333333333333332
641,1,486,376,00:00:21.366666666666667
642,1,510,350,00:00:21.4
643,1,533,331,00:00:21.433333333333334
644,0,0,0,00:00:21.466666666666665
645,0,0,0,00:00:21.5
646,0,0,0,00:00:21.53333333333333
647,0,0,0,00:00:21.566666666666666
648,0,0,0,00:00:21.6
649,0,0,0,00:00:21.633333333333333
650,0,0,0,00:00:21.666666666666668
651,0,0,0,00:00:21.7
652,0,0,0,00:00:21.733333333333334
653,0,0,0,00:00:21.766666666666666
654,0,0,0,00:00:21.8
655,0,0,0,00:00:21.833333333333332
656,0,0,0,00:00:21.866666666666667
657,0,0,0,00:00:21.9
658,0,0,0,00:00:21.933333333333334
659,0,0,0,00:00:21.966666666666665
660,1,732,272,00:00:22.0
661,1,738,276,00:00:22.03333333333333
662,1,746,281,00:00:22.066666666666666
663,1,746,281,00:00:22.1
664,1,753,287,00:00:22.133333333333333
665,1,762,292,00:00:22.166666666666668
666,1,723,247,00:00:22.2
667,1,718,233,00:00:22.233333333333334
668,1,703,211,00:00:22.266666666666666
669,1,701,211,00:00:22.3
670,1,688,191,00:00:22.333333333333332
671,1,676,176,00:00:22.366666666666667
672,1,663,162,00:00:22.4
673,1,653,150,00:00:22.433333333333334
674,1,643,141,00:00:22.466666666666665
675,1,643,141,00:00:22.5
676,1,633,131,00:00:22.53333333333333
677,1,626,126,00:00:22.566666666666666
678,1,617,121,00:00:22.6
679,1,608,118,00:00:22.633333333333333
680,1,601,116,00:00:22.666666666666668
681,1,601,116,00:00:22.7
682,1,593,116,00:00:22.733333333333334
683,1,586,118,00:00:22.766666666666666
684,1,578,121,00:00:22.8
685,1,573,126,00:00:22.833333333333332
686,1,566,131,00:00:22.866666666666667
687,1,566,131,00:00:22.9
688,1,561,136,00:00:22.933333333333334
689,1,552,146,00:00:22.966666666666665
690,1,546,157,00:00:23.0
691,1,541,166,00:00:23.03333333333333
692,1,535,180,00:00:23.066666666666666
693,1,533,178,00:00:23.1
694,1,528,193,00:00:23.133333333333333
695,1,523,208,00:00:23.166666666666668
696,1,518,225,00:00:23.2
697,1,513,241,00:00:23.233333333333334
698,1,508,258,00:00:23.266666666666666
699,1,508,258,00:00:23.3
700,1,503,277,00:00:23.333333333333332
701,1,498,297,00:00:23.366666666666667
702,1,496,316,00:00:23.4
703,1,493,337,00:00:23.433333333333334
704,0,0,0,00:00:23.466666666666665
705,0,0,0,00:00:23.5
706,0,0,0,00:00:23.53333333333333
707,0,0,0,00:00:23.566666666666666
708,0,0,0,00:00:23.6
709,1,683,277,00:00:23.633333333333333
710,1,700,275,00:00:23.666666666666668
711,1,698,275,00:00:23.7
712,1,712,273,00:00:23.733333333333334
713,1,721,275,00:00:23.766666666666666
714,1,733,276,00:00:23.8
715,1,741,277,00:00:23.833333333333332
716,1,748,281,00:00:23.866666666666667
717,1,748,281,00:00:23.9
718,1,755,286,00:00:23.933333333333334
719,1,761,290,00:00:23.966666666666665
720,0,0,0,00:00:24.0
721,1,777,281,00:00:24.03333333333333
722,1,777,275,00:00:24.066666666666666
723,1,780,273,00:00:24.1
724,1,785,268,00:00:24.133333333333333
725,1,790,266,00:00:24.166666666666668
726,1,796,261,00:00:24.2
727,1,798,260,00:00:24.233333333333334
728,1,801,258,00:00:24.266666666666666
729,1,802,258,00:00:24.3
730,1,806,258,00:00:24.333333333333332
731,1,811,261,00:00:24.366666666666667
732,1,816,263,00:00:24.4
733,1,818,268,00:00:24.433333333333334
734,1,821,273,00:00:24.466666666666665
735,1,822,275,00:00:24.5
736,1,826,281,00:00:24.53333333333333
737,1,828,286,00:00:24.566666666666666
738,1,831,296,00:00:24.6
739,1,835,306,00:00:24.633333333333333
740,1,836,316,00:00:24.666666666666668
741,1,836,316,00:00:24.7
